2022-03-19 01:23:08,011 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=0b15ad23-727e-483b-9b64-0fd6e01116a2, command=[]} | ret=SUCCESS |  
2022-03-19 01:23:37,914 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=4890af3e-e08f-4377-a915-e1970e5898e8, command=[]} | ret=SUCCESS |  
2022-03-19 01:23:37,931 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=7f168986-75bf-4375-aaee-229f1814c6a9, command=[]} | ret=SUCCESS |  
2022-03-19 01:23:37,970 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=0b15ad23-727e-483b-9b64-0fd6e01116a2, command=[]} | ret=SUCCESS |  
2022-03-19 01:24:07,919 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=7f168986-75bf-4375-aaee-229f1814c6a9, command=[]} | ret=SUCCESS |  
2022-03-19 01:24:07,973 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=4890af3e-e08f-4377-a915-e1970e5898e8, command=[]} | ret=SUCCESS |  
2022-03-19 01:24:07,997 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=0b15ad23-727e-483b-9b64-0fd6e01116a2, command=[]} | ret=SUCCESS |  
2022-03-19 01:24:37,940 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=7f168986-75bf-4375-aaee-229f1814c6a9, command=[]} | ret=SUCCESS |  
2022-03-19 01:24:37,997 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=4890af3e-e08f-4377-a915-e1970e5898e8, command=[]} | ret=SUCCESS |  
2022-03-19 01:24:38,020 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=0b15ad23-727e-483b-9b64-0fd6e01116a2, command=[]} | ret=SUCCESS |  
2022-03-19 01:25:07,926 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=7f168986-75bf-4375-aaee-229f1814c6a9, command=[]} | ret=SUCCESS |  
2022-03-19 01:25:07,935 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=4890af3e-e08f-4377-a915-e1970e5898e8, command=[]} | ret=SUCCESS |  
2022-03-19 01:25:07,980 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=0b15ad23-727e-483b-9b64-0fd6e01116a2, command=[]} | ret=SUCCESS |  
2022-03-19 01:25:37,971 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=7f168986-75bf-4375-aaee-229f1814c6a9, command=[]} | ret=SUCCESS |  
2022-03-19 01:25:38,017 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=4890af3e-e08f-4377-a915-e1970e5898e8, command=[]} | ret=SUCCESS |  
2022-03-19 01:25:38,039 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=0b15ad23-727e-483b-9b64-0fd6e01116a2, command=[]} | ret=SUCCESS |  
2022-03-19 01:26:07,923 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=7f168986-75bf-4375-aaee-229f1814c6a9, command=[]} | ret=SUCCESS |  
2022-03-19 01:26:07,959 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=4890af3e-e08f-4377-a915-e1970e5898e8, command=[]} | ret=SUCCESS |  
2022-03-19 01:26:08,008 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=0b15ad23-727e-483b-9b64-0fd6e01116a2, command=[]} | ret=SUCCESS |  
2022-03-19 01:26:37,931 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=7f168986-75bf-4375-aaee-229f1814c6a9, command=[]} | ret=SUCCESS |  
2022-03-19 01:26:37,990 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=0b15ad23-727e-483b-9b64-0fd6e01116a2, command=[]} | ret=SUCCESS |  
2022-03-19 01:26:38,001 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=4890af3e-e08f-4377-a915-e1970e5898e8, command=[]} | ret=SUCCESS |  
2022-03-19 01:27:07,915 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=7f168986-75bf-4375-aaee-229f1814c6a9, command=[]} | ret=SUCCESS |  
2022-03-19 01:27:07,972 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=4890af3e-e08f-4377-a915-e1970e5898e8, command=[]} | ret=SUCCESS |  
2022-03-19 01:27:08,007 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=0b15ad23-727e-483b-9b64-0fd6e01116a2, command=[]} | ret=SUCCESS |  
2022-03-19 01:27:37,961 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=7f168986-75bf-4375-aaee-229f1814c6a9, command=[]} | ret=SUCCESS |  
2022-03-19 01:27:37,985 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=4890af3e-e08f-4377-a915-e1970e5898e8, command=[]} | ret=SUCCESS |  
