2022-10-17 13:38:38,448 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.2 | op=CREATE_BUCKET {bucket=[s3bg38]} | ret=SUCCESS |  
2022-10-17 13:38:38,496 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.2 | op=CREATE_BUCKET {bucket=[s3bg48]} | ret=SUCCESS |  
2022-10-17 13:38:38,497 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.2 | op=CREATE_BUCKET {bucket=[s3bg46]} | ret=SUCCESS |  
2022-10-17 13:38:38,513 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.2 | op=CREATE_BUCKET {bucket=[s3bg51]} | ret=SUCCESS |  
2022-10-17 13:38:38,548 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.2 | op=CREATE_BUCKET {bucket=[s3bg49]} | ret=SUCCESS |  
2022-10-17 13:38:38,559 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.2 | op=CREATE_BUCKET {bucket=[s3bg53]} | ret=SUCCESS |  
2022-10-17 13:38:38,568 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.2 | op=CREATE_BUCKET {bucket=[s3bg45]} | ret=SUCCESS |  
2022-10-17 13:38:38,587 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.2 | op=CREATE_BUCKET {bucket=[s3bg52]} | ret=SUCCESS |  
2022-10-17 13:38:38,594 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.2 | op=CREATE_BUCKET {bucket=[s3bg54]} | ret=SUCCESS |  
2022-10-17 13:38:38,604 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.2 | op=CREATE_BUCKET {bucket=[s3bg47]} | ret=SUCCESS |  
2022-10-17 13:38:38,644 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.2 | op=CREATE_BUCKET {bucket=[s3bg50]} | ret=SUCCESS |  
2022-10-17 13:38:38,680 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.2 | op=CREATE_BUCKET {bucket=[s3bg59]} | ret=SUCCESS |  
2022-10-17 13:38:38,689 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.2 | op=CREATE_BUCKET {bucket=[s3bg55]} | ret=SUCCESS |  
