2022-11-20 13:04:42,591 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.3 | op=READ_VOLUME {volume=86117-source} | ret=SUCCESS |  
2022-11-20 13:04:42,668 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_BUCKET {volume=86117-source, bucket=bucket1, bucketLayout=LEGACY, gdprEnabled=null, acls=[user:testuser/scm@EXAMPLE.COM:a[ACCESS], group:testuser:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1668949482665, bucketEncryptionKey=null, modificationTime=1668949482665, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-11-20 13:04:47,411 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.3 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2022-11-20 13:04:47,978 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.3 | op=READ_VOLUME {volume=86117-target} | ret=SUCCESS |  
2022-11-20 13:04:48,002 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.3 | op=READ_BUCKET {volume=86117-target, bucket=link1} | ret=SUCCESS |  
2022-11-20 13:04:48,066 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.3 | op=READ_BUCKET {volume=86117-target, bucket=link1} | ret=SUCCESS |  
2022-11-20 13:04:48,108 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.3 | op=ALLOCATE_KEY {volume=86117-target, bucket=link1, key=key1, dataSize=946, replicationType=NONE, replicationFactor=ZERO, sourceVolume=86117-source, sourceBucket=bucket1} | ret=SUCCESS |  
2022-11-20 13:04:50,414 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.3 | op=COMMIT_KEY {volume=86117-source, bucket=bucket1, key=key1, dataSize=946, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-11-20 13:04:54,862 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.3 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2022-11-20 13:04:55,395 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.3 | op=READ_VOLUME {volume=86117-target} | ret=SUCCESS |  
2022-11-20 13:04:55,418 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.3 | op=READ_BUCKET {volume=86117-target, bucket=link1} | ret=SUCCESS |  
2022-11-20 13:04:55,454 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.3 | op=READ_KEY {volume=86117-target, bucket=link1, key=key1, dataSize=0, replicationConfig=null, sourceVolume=86117-source, sourceBucket=bucket1} | ret=SUCCESS |  
2022-11-20 13:05:02,582 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.3 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2022-11-20 13:05:03,272 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.3 | op=READ_VOLUME {volume=86117-source} | ret=SUCCESS |  
2022-11-20 13:05:03,310 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.3 | op=READ_BUCKET {volume=86117-source, bucket=bucket1} | ret=SUCCESS |  
2022-11-20 13:05:03,388 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.3 | op=READ_BUCKET {volume=86117-source, bucket=bucket1} | ret=SUCCESS |  
2022-11-20 13:05:03,428 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.3 | op=ALLOCATE_KEY {volume=86117-source, bucket=bucket1, key=key2, dataSize=17539, replicationType=NONE, replicationFactor=ZERO} | ret=SUCCESS |  
