2022-03-03 01:27:11,123 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.4 | op=CREATE_DIRECTORY {volume=user, bucket=history, key=done_intermediate/hadoop, dataSize=0, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2022-03-03 01:27:11,796 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.4 | op=LOOKUP_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646270571604_0001/job.splitmetainfo, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2022-03-03 01:27:18,134 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.4 | op=CREATE_DIRECTORY {volume=volume1, bucket=bucket1, key=user/hadoop/QuasiMonteCarlo_1646270801911_575786953/out/_temporary/1, dataSize=0, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2022-03-03 01:27:18,221 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.4 | op=CREATE_FILE {volume=user, bucket=hadoop, key=.staging/job_1646270571604_0001/job_1646270571604_0001_1.jhist, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:27:18,696 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.4 | op=CREATE_FILE {volume=user, bucket=hadoop, key=.staging/job_1646270571604_0001/job_1646270571604_0001_1_conf.xml, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:27:22,279 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.4 | op=COMMIT_KEY {volume=user, bucket=hadoop, key=.staging/job_1646270571604_0001/job_1646270571604_0001_1_conf.xml, dataSize=273015, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:27:35,385 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.4 | op=LOOKUP_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646270571604_0001/job.split, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2022-03-03 01:27:36,856 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.4 | op=LOOKUP_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646270571604_0001/job.split, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2022-03-03 01:27:38,413 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.4 | op=LOOKUP_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646270571604_0001/job.split, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2022-03-03 01:27:42,941 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.4 | op=LOOKUP_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/QuasiMonteCarlo_1646270801911_575786953/in/part0, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2022-03-03 01:27:44,136 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.4 | op=LOOKUP_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/QuasiMonteCarlo_1646270801911_575786953/in/part1, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2022-03-03 01:27:45,528 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.4 | op=LOOKUP_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/QuasiMonteCarlo_1646270801911_575786953/in/part2, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2022-03-03 01:27:50,836 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.4 | op=CREATE_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/QuasiMonteCarlo_1646270801911_575786953/out/_temporary/1/_temporary/attempt_1646270571604_0001_r_000000_0/part-r-00000, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:27:51,663 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.4 | op=CREATE_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/QuasiMonteCarlo_1646270801911_575786953/out/reduce-out, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:27:56,632 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.4 | op=COMMIT_KEY {volume=volume1, bucket=bucket1, key=user/hadoop/QuasiMonteCarlo_1646270801911_575786953/out/reduce-out, dataSize=118, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:27:59,220 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.4 | op=COMMIT_KEY {volume=volume1, bucket=bucket1, key=user/hadoop/QuasiMonteCarlo_1646270801911_575786953/out/_temporary/1/_temporary/attempt_1646270571604_0001_r_000000_0/part-r-00000, dataSize=97, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:27:59,374 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.4 | op=RENAME_KEY {volume=volume1, bucket=bucket1, dataSize=0, replicationType=RATIS, replicationFactor=ONE, srcKey=/user/hadoop/QuasiMonteCarlo_1646270801911_575786953/out/_temporary/1/_temporary/attempt_1646270571604_0001_r_000000_0/part-r-00000, dstKey=/user/hadoop/QuasiMonteCarlo_1646270801911_575786953/out/part-r-00000} | ret=SUCCESS |  
2022-03-03 01:27:59,439 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.4 | op=CREATE_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646270571604_0001/COMMIT_STARTED, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:27:59,451 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.4 | op=COMMIT_KEY {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646270571604_0001/COMMIT_STARTED, dataSize=0, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:27:59,496 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.4 | op=DELETE_KEY {volume=volume1, bucket=bucket1, key=user/hadoop/QuasiMonteCarlo_1646270801911_575786953/out/_temporary, dataSize=0, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2022-03-03 01:27:59,519 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.4 | op=CREATE_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/QuasiMonteCarlo_1646270801911_575786953/out/_SUCCESS, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:27:59,533 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.4 | op=COMMIT_KEY {volume=volume1, bucket=bucket1, key=user/hadoop/QuasiMonteCarlo_1646270801911_575786953/out/_SUCCESS, dataSize=0, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:27:59,563 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.4 | op=CREATE_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646270571604_0001/COMMIT_SUCCESS, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:27:59,571 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.4 | op=COMMIT_KEY {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646270571604_0001/COMMIT_SUCCESS, dataSize=0, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:28:02,228 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.4 | op=COMMIT_KEY {volume=user, bucket=hadoop, key=.staging/job_1646270571604_0001/job_1646270571604_0001_1.jhist, dataSize=29553, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:28:02,256 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.4 | op=CREATE_FILE {volume=user, bucket=history, key=done_intermediate/hadoop/job_1646270571604_0001.summary_tmp, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:28:05,002 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.4 | op=COMMIT_KEY {volume=user, bucket=history, key=done_intermediate/hadoop/job_1646270571604_0001.summary_tmp, dataSize=449, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:28:05,063 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.4 | op=LOOKUP_FILE {volume=user, bucket=hadoop, key=.staging/job_1646270571604_0001/job_1646270571604_0001_1.jhist, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
