2022-08-23 17:21:30,140 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[s3bg32]} | ret=SUCCESS |  
2022-08-23 17:21:30,169 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[s3bg36]} | ret=SUCCESS |  
2022-08-23 17:21:30,185 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[s3bg35]} | ret=SUCCESS |  
2022-08-23 17:21:30,201 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[s3bg38]} | ret=SUCCESS |  
2022-08-23 17:21:30,208 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[s3bg40]} | ret=SUCCESS |  
2022-08-23 17:21:30,211 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[s3bg34]} | ret=SUCCESS |  
2022-08-23 17:21:30,215 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[s3bg37]} | ret=SUCCESS |  
2022-08-23 17:21:30,242 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[s3bg41]} | ret=SUCCESS |  
2022-08-23 17:21:30,264 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[s3bg39]} | ret=SUCCESS |  
2022-08-23 17:21:30,348 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[s3bg42]} | ret=SUCCESS |  
2022-08-23 17:21:30,384 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[s3bg48]} | ret=SUCCESS |  
2022-08-23 17:21:30,412 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[s3bg45]} | ret=SUCCESS |  
