2022-04-10 13:28:37,322 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=e1263173-db15-433a-86f5-d6733a65393c, command=[]} | ret=SUCCESS |  
2022-04-10 13:28:37,346 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=fc17b647-33a0-44d7-8b27-374b3c4e088d, command=[]} | ret=SUCCESS |  
2022-04-10 13:29:07,443 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=e1263173-db15-433a-86f5-d6733a65393c, command=[]} | ret=SUCCESS |  
2022-04-10 13:29:07,458 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=5fbfb26c-dc94-43c2-be2a-73b136b6e738, command=[]} | ret=SUCCESS |  
2022-04-10 13:29:07,473 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=fc17b647-33a0-44d7-8b27-374b3c4e088d, command=[]} | ret=SUCCESS |  
2022-04-10 13:29:37,357 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=5fbfb26c-dc94-43c2-be2a-73b136b6e738, command=[]} | ret=SUCCESS |  
2022-04-10 13:29:37,364 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=e1263173-db15-433a-86f5-d6733a65393c, command=[]} | ret=SUCCESS |  
2022-04-10 13:29:37,368 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=fc17b647-33a0-44d7-8b27-374b3c4e088d, command=[]} | ret=SUCCESS |  
2022-04-10 13:30:07,343 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=e1263173-db15-433a-86f5-d6733a65393c, command=[]} | ret=SUCCESS |  
2022-04-10 13:30:07,358 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=fc17b647-33a0-44d7-8b27-374b3c4e088d, command=[]} | ret=SUCCESS |  
2022-04-10 13:30:07,371 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=5fbfb26c-dc94-43c2-be2a-73b136b6e738, command=[]} | ret=SUCCESS |  
2022-04-10 13:30:37,256 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=e1263173-db15-433a-86f5-d6733a65393c, command=[]} | ret=SUCCESS |  
2022-04-10 13:30:37,309 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=fc17b647-33a0-44d7-8b27-374b3c4e088d, command=[]} | ret=SUCCESS |  
2022-04-10 13:30:37,312 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=5fbfb26c-dc94-43c2-be2a-73b136b6e738, command=[]} | ret=SUCCESS |  
